Team,PA,R,wOBA,SO%,BB%,ERA,FIP,xFIP,PF
ZUR,3117,285,0.281,23.20%,6.32%,3.3,3.59,3.63,0.998
SUN,3154,302,0.292,22.30%,6.02%,3.96,3.81,3.64,0.999
SPR,3192,404,0.327,24.50%,9.96%,3.68,3.82,3.81,0.998
SHA,3182,306,0.291,22.20%,6.32%,4.13,3.62,3.36,1.025
RED,3215,347,0.313,23.10%,8.58%,3.35,3.46,3.38,0.996
RAI,3305,382,0.32,23.40%,9.26%,3.31,3.59,3.62,1
PYO,3129,305,0.278,25.20%,6.81%,3.46,3.64,3.62,1.014
PEK,3209,387,0.325,23.00%,8.76%,3.1,3.38,3.37,1.017
NLD,3078,274,0.277,26.80%,7.60%,4.29,3.79,3.89,1.008
MTL,3235,388,0.316,20.80%,6.83%,3.64,3.71,3.59,0.996
MOT,3102,325,0.296,28.00%,7.70%,3.96,4.19,3.96,1.018
MIN,3192,358,0.309,23.50%,7.86%,3.73,3.7,3.93,1.004
MEN,3158,340,0.297,22.80%,8.68%,3.6,3.75,3.75,0.994
LA,3201,334,0.299,21.90%,7.84%,4.08,4.07,4.05,1.006
KYI,3265,441,0.329,22.50%,8.09%,3.23,3.26,3.29,0.992
KIT,3293,351,0.307,22.30%,7.05%,4,3.97,3.81,1
KIR,3155,325,0.304,21.80%,7.26%,3.71,3.78,3.68,0.986
HFX,3242,372,0.311,22.50%,8.42%,3.31,3.38,3.58,1
HAN,3170,301,0.281,23.60%,6.88%,4.11,3.78,3.74,0.993
CHI,3168,406,0.324,24.10%,9.25%,4.18,3.93,4.1,1.007
CBR,3114,319,0.288,23.00%,5.97%,3.79,3.65,3.92,0.999
CAS,3212,359,0.314,25.30%,8.94%,3.58,3.51,3.49,0.999
BEI,3049,269,0.275,24.10%,7.15%,3.53,3.78,3.7,0.994
BEA,3066,246,0.277,24.60%,6.46%,3.91,3.78,4.03,1.019
